Designator,Mid X,Mid Y,Rotation,Layer
C1,37.6,17.0,90.0,top
C10,62.4125,17.6825,90.0,top
C11,70.5,8.5,180.0,top
C12,59.0,8.025,180.0,top
C13,62.0,11.0,180.0,top
C14,62.25,12.5,270.0,top
C15,39.8,17.5,90.0,top
C16,42.3,17.5,90.0,top
C17,10.5,11.0,270.0,top
C18,19.5,7.5,0.0,top
C19,28.829313,5.713128,270.0,top
C2,43.788433,11.25,270.0,top
C20,38.822483,5.581506,270.0,top
C21,49.25,8.5,270.0,top
C22,54.43,9.25,0.0,top
C23,64.5,9.5,90.0,top
C24,74.5,10.0,0.0,top
C25,83.52,11.0,0.0,top
C26,97.5,11.5,270.0,top
C3,29.5,16.0,90.0,top
C4,73.75,18.75,0.0,top
C5,59.5,1.0,180.0,top
C6,58.0,18.0,0.0,top
C7,58.0,10.0,0.0,top
C8,63.9125,19.1625,180.0,top
C9,74.4125,16.75,270.0,top
D1,2.0,15.5625,90.0,top
D10,53.335,11.0,0.0,top
D11,97.5,15.0,0.0,top
D12,45.5,5.05,270.0,top
D13,54.5,5.0,90.0,top
D14,35.5,5.05,270.0,top
D15,64.5,5.0,90.0,top
D16,25.5,5.05,270.0,top
D17,74.5,5.0,90.0,top
D18,15.5,5.05,270.0,top
D19,84.5,5.0,90.0,top
D2,26.0,15.5,180.0,top
D20,5.5,5.0,270.0,top
D21,94.36,5.0,90.0,top
D3,83.0,14.0,270.0,top
D4,82.75,18.0,180.0,top
D5,82.75,19.0,180.0,top
D6,83.0,16.5,90.0,top
D7,92.5,18.5,90.0,top
D8,44.0,16.6,90.0,top
D9,50.5,11.0,180.0,top
FB1,62.0,9.5,180.0,top
J2,10.27,17.0,90.0,top
J3,50.0,13.55,0.0,top
J4,90.0,14.23,0.0,top
R1,3.5,15.5,90.0,top
R10,40.0,7.5,180.0,top
R11,46.5,9.25,0.0,top
R12,3.5,11.0,90.0,top
R13,10.5,4.0,270.0,top
R14,20.5,3.75,270.0,top
R15,30.5,3.75,270.0,top
R16,40.5,4.0,270.0,top
R17,50.0,4.0,270.0,top
R18,64.5,5.0,0.0,bottom
R19,79.5,7.5,0.0,top
R2,24.5,17.5,270.0,top
R20,79.5,3.0,0.0,top
R21,89.5,4.0,270.0,top
R22,51.75,9.25,0.0,top
R23,63.825,7.0,180.0,bottom
R24,75.0,11.5,180.0,top
R25,79.5,11.0,0.0,top
R26,94.0,15.0,0.0,top
R3,32.753354,10.15,180.0,top
R4,69.5,1.0,0.0,top
R5,61.0,13.0,90.0,top
R6,98.0,13.5,0.0,top
R7,9.0,11.0,90.0,top
R8,20.0,10.0,180.0,top
R9,30.0,7.5,180.0,top
SW1,69.5,4.5,270.0,top
SW2,13.0,11.5,90.0,top
SW3,25.5,11.5,90.0,top
SW4,59.5,4.5,270.0,top
U1,33.527078,16.418266,180.0,top
U10,64.5,10.0,90.0,bottom
U11,74.5,10.0,90.0,bottom
U12,84.5,10.0,90.0,bottom
U13,94.5,10.0,180.0,bottom
U2,39.253354,11.15,90.0,top
U3,68.1625,14.5,270.0,top
U4,5.5,10.0,180.0,bottom
U5,15.5,10.0,270.0,bottom
U6,25.5,10.0,270.0,bottom
U7,35.5,10.0,270.0,bottom
U8,45.5,10.0,270.0,bottom
U9,54.5,10.0,90.0,bottom
Y1,58.0,14.0,90.0,top
